age,p10,p25,p50,p75,p90
13,8.1606,8.5647,9.01,9.4668,9.876
13.1,8.1144,8.5255,8.979,9.4326,9.8426
13.2,8.0662,8.4899,8.9446,9.3984,9.8092
13.3,8.0449,8.4525,8.9102,9.3545,9.7774
13.4,8.0032,8.4179,8.8758,9.3335,9.7456
13.5,7.9691,8.379,8.8412,9.299,9.7121
13.6,7.9219,8.344,8.8124,9.2596,9.6787
13.7,7.8932,8.3133,8.7634,9.2316,9.6457
13.8,7.8628,8.2689,8.7382,9.2006,9.6127
13.9,7.8296,8.237,8.7075,9.1702,9.5807
14,7.7754,8.2,8.6676,9.1274,9.5486
14.1,7.7356,8.1651,8.6353,9.0986,9.5208
14.2,7.7012,8.1296,8.5918,9.0674,9.4929
14.3,7.6626,8.1016,8.5571,9.0267,9.4558
14.4,7.6275,8.046,8.528,8.9971,9.4188
14.5,7.5937,8.013,8.4934,8.9632,9.3881
14.6,7.563,7.9789,8.4545,8.9292,9.3573
14.7,7.5339,7.948,8.4205,8.8961,9.321
14.8,7.4842,7.9059,8.3867,8.8668,9.2846
14.9,7.4379,7.8666,8.3465,8.827,9.2518
15,7.4089,7.84,8.3123,8.7974,9.2191
15.1,7.3529,7.7929,8.278,8.7598,9.1915
15.2,7.3254,7.76,8.2438,8.726,9.1639
15.3,7.2868,7.7248,8.2001,8.6911,9.131
15.4,7.2527,7.6829,8.1655,8.6548,9.0981
15.5,7.2021,7.6476,8.1363,8.6211,9.0597
15.6,7.1629,7.6087,8.1005,8.5864,9.0213
15.7,7.1335,7.5696,8.0629,8.5518,8.9878
15.8,7.0902,7.5271,8.0256,8.5173,8.9542
15.9,7.0557,7.5016,7.987,8.4848,8.9542
16,7.0557,7.4622,7.9556,8.4848,8.9542
